subscription_id,plan_tier,monthly_amount,signup_date,primary_instrument,city_tier,tenure_days,archetype,split
sub_SYN00112,mobile,172,2024-09-07,upi_autopay,tier_1,661,reliable,train
sub_SYN00113,mid,320,2024-07-11,netbanking,tier_1,719,cash_strapped_cyclical,train
sub_SYN00114,mid,422,2024-07-13,upi_autopay,tier_1,717,reliable,test
sub_SYN00115,mobile,121,2024-08-02,credit_card,tier_1,697,chronic_struggler,validation
sub_SYN00116,mid,417,2026-04-11,debit_card,tier_1,80,chronic_struggler,train
sub_SYN00117,mid,381,2026-02-24,credit_card,tier_2,126,cash_strapped_cyclical,train
sub_SYN00118,mobile,192,2025-10-30,upi_autopay,tier_1,243,reliable,validation
sub_SYN00119,saas,1889,2025-05-09,netbanking,tier_3,417,cash_strapped_cyclical,test
sub_SYN00120,saas,2701,2026-03-25,debit_card,tier_3,97,cash_strapped_cyclical,train
sub_SYN00121,mid,463,2024-10-16,debit_card,tier_1,622,cash_strapped_cyclical,train
sub_SYN00122,mobile,168,2025-03-26,credit_card,tier_1,461,reliable,test
sub_SYN00123,mid,379,2025-05-17,netbanking,tier_2,409,reliable,train
sub_SYN00124,premium,831,2026-02-05,credit_card,tier_1,145,reliable,test
sub_SYN00125,mid,315,2025-12-05,credit_card,tier_1,207,reliable,train
sub_SYN00126,premium,808,2026-02-08,credit_card,tier_3,142,reliable,validation
sub_SYN00127,mid,320,2024-10-12,credit_card,tier_3,626,reliable,validation
sub_SYN00128,mid,374,2025-04-18,debit_card,tier_2,438,reliable,validation
sub_SYN00129,mobile,142,2025-01-02,debit_card,tier_1,544,cash_strapped_cyclical,train
sub_SYN00130,premium,908,2025-11-05,credit_card,tier_2,237,reliable,train
sub_SYN00131,mobile,181,2025-09-14,credit_card,tier_2,289,quiet_canceller,test
sub_SYN00132,mid,466,2025-08-21,credit_card,tier_1,313,cash_strapped_cyclical,validation
sub_SYN00133,premium,687,2024-12-15,debit_card,tier_2,562,reliable,validation
sub_SYN00134,mobile,82,2024-12-07,credit_card,tier_1,570,cash_strapped_cyclical,validation
sub_SYN00135,mid,307,2026-01-07,upi_autopay,tier_1,174,reliable,test
sub_SYN00136,mobile,152,2024-08-10,credit_card,tier_2,689,quiet_canceller,test
sub_SYN00137,premium,792,2026-03-08,credit_card,tier_1,114,reliable,train
sub_SYN00138,mobile,107,2024-09-11,debit_card,tier_1,657,chronic_struggler,test
sub_SYN00139,saas,3907,2026-03-22,debit_card,tier_3,100,reliable,train
sub_SYN00140,mobile,125,2025-11-27,credit_card,tier_3,215,reliable,train
sub_SYN00141,saas,1711,2024-10-16,credit_card,tier_2,622,reliable,validation
sub_SYN00142,premium,865,2026-01-26,upi_autopay,tier_3,155,quiet_canceller,train
sub_SYN00143,mid,429,2025-08-15,credit_card,tier_3,319,cash_strapped_cyclical,train
sub_SYN00144,premium,670,2025-07-21,debit_card,tier_1,344,reliable,test
sub_SYN00145,premium,714,2025-12-11,debit_card,tier_1,201,reliable,train
sub_SYN00146,saas,4516,2025-01-19,credit_card,tier_1,527,reliable,train
sub_SYN00147,mobile,95,2024-10-13,debit_card,tier_1,625,cash_strapped_cyclical,train
sub_SYN00148,mid,414,2024-09-26,upi_autopay,tier_2,642,reliable,train
sub_SYN00149,mobile,169,2025-10-06,upi_autopay,tier_1,267,reliable,train
sub_SYN00150,mid,406,2025-05-25,credit_card,tier_2,401,chronic_struggler,train
sub_SYN00151,mobile,166,2025-12-09,credit_card,tier_1,203,chronic_struggler,test
sub_SYN00152,mid,365,2025-12-11,credit_card,tier_1,201,reliable,train
sub_SYN00153,mid,358,2026-02-08,debit_card,tier_3,142,cash_strapped_cyclical,train
sub_SYN00154,mid,306,2024-08-11,upi_autopay,tier_1,688,reliable,train
sub_SYN00155,mid,313,2024-09-17,credit_card,tier_1,651,cash_strapped_cyclical,test
sub_SYN00156,premium,650,2024-12-03,credit_card,tier_1,574,reliable,test
sub_SYN00157,premium,764,2025-06-03,netbanking,tier_2,392,cash_strapped_cyclical,train
sub_SYN00158,mid,355,2025-06-22,credit_card,tier_2,373,cash_strapped_cyclical,test
sub_SYN00159,mid,389,2025-05-26,debit_card,tier_2,400,chronic_struggler,train
sub_SYN00160,saas,2573,2025-05-21,upi_autopay,tier_1,405,reliable,train
sub_SYN00161,mobile,178,2025-07-31,credit_card,tier_1,334,quiet_canceller,train
sub_SYN00162,mobile,122,2026-02-28,credit_card,tier_3,122,reliable,test
sub_SYN00163,mobile,122,2026-03-05,credit_card,tier_2,117,reliable,train
sub_SYN00164,mid,335,2024-08-03,netbanking,tier_2,696,cash_strapped_cyclical,train
sub_SYN00165,mid,316,2025-06-28,credit_card,tier_2,367,reliable,train
sub_SYN00166,premium,941,2024-08-02,credit_card,tier_2,697,chronic_struggler,test
sub_SYN00167,mid,328,2026-02-06,credit_card,tier_1,144,chronic_struggler,train
sub_SYN00168,mobile,124,2025-05-08,credit_card,tier_1,418,reliable,test
sub_SYN00169,premium,985,2026-01-06,debit_card,tier_2,175,quiet_canceller,validation
sub_SYN00170,premium,706,2025-12-05,credit_card,tier_1,207,reliable,validation
sub_SYN00171,mobile,184,2026-05-10,debit_card,tier_3,51,cash_strapped_cyclical,train
sub_SYN00172,mid,375,2026-03-09,debit_card,tier_2,113,reliable,train
sub_SYN00173,mobile,98,2024-08-28,upi_autopay,tier_2,671,quiet_canceller,test
sub_SYN00174,mobile,79,2025-10-18,credit_card,tier_3,255,reliable,train
sub_SYN00175,mobile,189,2025-04-01,upi_autopay,tier_2,455,reliable,validation
sub_SYN00176,saas,1287,2025-07-10,debit_card,tier_3,355,reliable,train
sub_SYN00177,mid,494,2025-08-24,credit_card,tier_2,310,quiet_canceller,train
sub_SYN00178,mid,405,2025-05-24,upi_autopay,tier_3,402,chronic_struggler,validation
sub_SYN00179,premium,880,2026-01-20,upi_autopay,tier_1,161,cash_strapped_cyclical,validation
sub_SYN00180,mid,467,2024-07-08,credit_card,tier_2,722,chronic_struggler,test
sub_SYN00181,saas,1570,2024-11-05,netbanking,tier_2,602,chronic_struggler,train
sub_SYN00182,premium,935,2024-12-28,debit_card,tier_1,549,cash_strapped_cyclical,validation
sub_SYN00183,mid,373,2025-07-07,debit_card,tier_1,358,reliable,train
sub_SYN00184,mid,467,2026-02-13,netbanking,tier_3,137,chronic_struggler,test
sub_SYN00185,saas,4315,2024-08-25,debit_card,tier_2,674,cash_strapped_cyclical,train
sub_SYN00186,premium,888,2025-10-05,upi_autopay,tier_1,268,reliable,train
sub_SYN00187,saas,3237,2026-04-26,credit_card,tier_1,65,reliable,train
sub_SYN00188,mobile,191,2025-10-04,upi_autopay,tier_1,269,cash_strapped_cyclical,train
sub_SYN00189,premium,669,2024-11-21,debit_card,tier_1,586,reliable,train
sub_SYN00190,mid,431,2025-03-22,credit_card,tier_3,465,quiet_canceller,validation
sub_SYN00191,mobile,85,2024-12-22,debit_card,tier_1,555,reliable,train
sub_SYN00192,mid,427,2024-11-22,credit_card,tier_1,585,reliable,train
sub_SYN00193,mid,465,2026-01-03,credit_card,tier_2,178,chronic_struggler,train
sub_SYN00194,mobile,104,2024-08-23,credit_card,tier_1,676,reliable,validation
sub_SYN00195,mid,405,2025-07-29,credit_card,tier_1,336,reliable,validation
sub_SYN00196,premium,749,2025-03-10,credit_card,tier_2,477,cash_strapped_cyclical,train
sub_SYN00197,mobile,170,2026-05-30,credit_card,tier_2,31,chronic_struggler,train
sub_SYN00198,mid,410,2024-07-05,upi_autopay,tier_3,725,reliable,validation
sub_SYN00199,mid,355,2025-11-16,upi_autopay,tier_2,226,reliable,validation
