event_id,subscription_id,failure_timestamp,day_of_month,days_to_nearest_payday_window,error_reason,amount,prior_if_failure_count,prior_if_self_resolved_rate,tenure_days,bank_network_conditions,issuing_bank_downtime_flag,network_latency_bucket,is_month_end_settlement_rush,app_version,device_build,ui_theme
evt_SYN000045,sub_SYN00026,2026-05-08 13:02:00,8,5,insufficient_fund,457.0,0,,83,degraded,False,low,False,4.3.1,build_A1,light
evt_SYN000046,sub_SYN00027,2026-04-21 17:28:00,21,7,insufficient_fund,445.0,0,,41,poor,False,low,False,4.3.1,build_C3,light
evt_SYN000047,sub_SYN00028,2024-11-22 17:18:00,22,6,insufficient_fund,147.0,0,,91,good,False,low,False,4.4.0,build_E2,system
evt_SYN000048,sub_SYN00029,2026-06-20 14:24:00,20,8,insufficient_fund,103.0,0,,141,poor,False,high,False,5.0.0,build_D9,dark
evt_SYN000049,sub_SYN00030,2026-04-15 05:08:00,15,12,insufficient_fund,130.0,0,,212,good,False,low,False,4.4.0,build_A1,dark
evt_SYN000050,sub_SYN00030,2026-05-19 23:15:00,19,10,insufficient_fund,130.0,1,1.0,246,degraded,False,low,False,4.3.1,build_C3,light
evt_SYN000051,sub_SYN00031,2026-03-21 03:08:00,21,8,insufficient_fund,84.0,0,,248,good,False,medium,True,5.1.2,build_E2,system
evt_SYN000052,sub_SYN00032,2026-04-09 09:55:00,9,6,insufficient_fund,351.0,0,,35,degraded,False,high,False,4.2.0,build_B7,light
evt_SYN000053,sub_SYN00033,2026-06-10 00:45:00,10,7,insufficient_fund,745.0,0,,24,good,False,low,False,4.3.1,build_B7,dark
evt_SYN000054,sub_SYN00034,2024-11-29 05:21:00,29,0,insufficient_fund,189.0,0,,147,poor,False,low,False,4.4.0,build_C3,light
evt_SYN000055,sub_SYN00035,2025-01-20 17:12:00,20,9,insufficient_fund,372.0,0,,117,degraded,False,medium,False,4.4.0,build_D9,system
evt_SYN000056,sub_SYN00036,2025-05-30 07:58:00,30,0,insufficient_fund,810.0,0,,272,poor,False,low,True,5.1.2,build_A1,dark
evt_SYN000057,sub_SYN00037,2025-12-15 20:48:00,15,12,insufficient_fund,709.0,0,,32,good,False,low,False,5.0.0,build_D9,system
evt_SYN000058,sub_SYN00038,2026-03-19 00:46:00,19,10,insufficient_fund,908.0,0,,81,degraded,False,low,False,4.4.0,build_D9,light
evt_SYN000059,sub_SYN00039,2026-06-05 18:07:00,5,2,insufficient_fund,464.0,0,,303,degraded,False,low,False,4.2.0,build_E2,dark
evt_SYN000060,sub_SYN00039,2026-06-20 23:22:00,20,8,insufficient_fund,464.0,1,0.0,318,good,False,medium,False,5.1.2,build_C3,light
evt_SYN000061,sub_SYN00040,2026-02-02 00:34:00,2,0,insufficient_fund,790.0,0,,199,good,False,medium,True,4.2.0,build_D9,dark
evt_SYN000062,sub_SYN00041,2026-06-14 18:04:00,14,11,insufficient_fund,175.0,0,,17,good,False,medium,False,4.2.0,build_D9,light
evt_SYN000063,sub_SYN00041,2026-07-21 06:02:00,21,8,insufficient_fund,175.0,1,0.0,54,degraded,False,medium,False,5.0.0,build_C3,dark
evt_SYN000064,sub_SYN00041,2026-08-06 03:20:00,6,3,insufficient_fund,175.0,2,0.0,70,good,False,low,False,4.4.0,build_E2,light
evt_SYN000065,sub_SYN00042,2025-09-03 05:14:00,3,0,insufficient_fund,449.0,0,,275,good,False,medium,False,4.2.0,build_B7,light
evt_SYN000066,sub_SYN00042,2025-10-06 17:38:00,6,3,insufficient_fund,449.0,1,0.0,308,good,False,medium,False,5.0.0,build_D9,dark
evt_SYN000067,sub_SYN00042,2025-11-16 14:57:00,16,12,insufficient_fund,449.0,2,0.0,349,degraded,False,low,False,5.0.0,build_C3,dark
evt_SYN000068,sub_SYN00043,2026-06-03 13:08:00,3,0,insufficient_fund,178.0,0,,700,good,False,medium,False,5.0.0,build_B7,system
evt_SYN000069,sub_SYN00044,2026-01-14 13:10:00,14,11,insufficient_fund,456.0,0,,233,good,False,medium,False,4.4.0,build_D9,dark
evt_SYN000070,sub_SYN00044,2026-02-02 06:22:00,2,0,insufficient_fund,456.0,1,0.0,252,poor,False,medium,False,4.3.1,build_A1,dark
evt_SYN000071,sub_SYN00044,2026-02-13 02:16:00,13,10,insufficient_fund,456.0,2,0.5,263,good,False,low,False,5.1.2,build_D9,system
evt_SYN000072,sub_SYN00045,2026-02-15 06:58:00,15,11,insufficient_fund,392.0,0,,166,good,False,low,False,5.1.2,build_E2,dark
evt_SYN000073,sub_SYN00045,2026-03-23 08:58:00,23,6,insufficient_fund,392.0,1,0.0,202,good,False,high,False,4.3.1,build_D9,dark
evt_SYN000074,sub_SYN00045,2026-04-23 16:04:00,23,5,insufficient_fund,392.0,2,0.0,233,good,False,low,False,4.4.0,build_B7,dark
evt_SYN000075,sub_SYN00046,2026-03-24 22:34:00,24,5,insufficient_fund,179.0,0,,206,good,False,low,False,4.2.0,build_A1,light
evt_SYN000076,sub_SYN00047,2026-05-20 07:18:00,20,9,insufficient_fund,849.0,0,,56,good,False,medium,True,5.1.2,build_C3,system
evt_SYN000077,sub_SYN00048,2025-12-22 00:38:00,22,7,insufficient_fund,117.0,0,,26,poor,False,high,False,4.4.0,build_E2,light
evt_SYN000078,sub_SYN00048,2026-01-22 05:01:00,22,7,insufficient_fund,117.0,1,1.0,57,good,False,medium,False,4.4.0,build_C3,light
evt_SYN000079,sub_SYN00049,2026-03-06 08:17:00,6,3,insufficient_fund,131.0,0,,265,good,False,medium,False,5.0.0,build_C3,light
evt_SYN000080,sub_SYN00050,2025-08-15 15:39:00,15,12,insufficient_fund,165.0,0,,13,good,False,medium,False,4.2.0,build_A1,dark
evt_SYN000081,sub_SYN00051,2026-06-05 05:30:00,5,2,insufficient_fund,329.0,0,,386,degraded,False,low,False,5.1.2,build_E2,system
evt_SYN000082,sub_SYN00052,2025-02-28 11:13:00,28,0,insufficient_fund,85.0,0,,137,good,False,low,False,4.2.0,build_D9,light
evt_SYN000083,sub_SYN00052,2025-03-28 14:58:00,28,1,insufficient_fund,85.0,1,1.0,165,good,False,medium,False,4.4.0,build_B7,light
evt_SYN000084,sub_SYN00052,2025-04-13 01:44:00,13,10,insufficient_fund,85.0,2,1.0,181,poor,False,medium,False,5.0.0,build_E2,light
evt_SYN000085,sub_SYN00053,2026-06-17 18:44:00,17,11,insufficient_fund,453.0,0,,174,good,False,medium,True,5.1.2,build_E2,dark
evt_SYN000086,sub_SYN00053,2026-07-16 23:06:00,16,13,insufficient_fund,453.0,1,0.0,203,degraded,False,low,False,4.3.1,build_B7,light
evt_SYN000087,sub_SYN00054,2026-06-04 12:40:00,4,1,insufficient_fund,110.0,0,,23,degraded,False,low,True,5.0.0,build_E2,dark
evt_SYN000088,sub_SYN00055,2026-05-29 06:57:00,29,0,insufficient_fund,776.0,0,,24,poor,False,medium,True,4.3.1,build_E2,dark
evt_SYN000089,sub_SYN00055,2026-06-12 22:09:00,12,9,insufficient_fund,776.0,1,0.0,38,degraded,False,low,False,4.4.0,build_B7,light
evt_SYN000090,sub_SYN00055,2026-07-23 11:05:00,23,6,insufficient_fund,776.0,2,0.0,79,good,False,low,False,5.0.0,build_A1,system
evt_SYN000091,sub_SYN00055,2026-08-04 13:36:00,4,1,insufficient_fund,776.0,3,0.0,91,poor,False,low,False,4.2.0,build_C3,system
evt_SYN000092,sub_SYN00056,2026-05-08 19:30:00,8,5,insufficient_fund,4746.0,0,,70,degraded,False,low,False,4.4.0,build_B7,light
evt_SYN000093,sub_SYN00057,2025-05-31 17:50:00,31,0,insufficient_fund,431.0,0,,34,good,False,medium,False,5.1.2,build_A1,light
evt_SYN000094,sub_SYN00058,2025-07-05 04:00:00,5,2,insufficient_fund,346.0,0,,235,good,True,low,False,4.2.0,build_B7,dark
evt_SYN000095,sub_SYN00058,2025-12-23 05:39:00,23,6,insufficient_fund,346.0,1,0.0,406,degraded,False,low,False,5.1.2,build_E2,dark
evt_SYN000096,sub_SYN00059,2025-04-18 17:14:00,18,10,insufficient_fund,687.0,0,,212,degraded,True,medium,False,5.1.2,build_C3,light
evt_SYN000097,sub_SYN00060,2025-11-19 01:43:00,19,9,insufficient_fund,3962.0,0,,251,good,False,low,False,4.3.1,build_D9,system
evt_SYN000098,sub_SYN00060,2025-12-19 16:03:00,19,10,insufficient_fund,3962.0,1,0.0,281,good,False,low,False,5.0.0,build_D9,light
evt_SYN000099,sub_SYN00061,2025-10-17 06:56:00,17,12,insufficient_fund,475.0,0,,56,good,True,medium,False,4.2.0,build_A1,system
evt_SYN000100,sub_SYN00062,2026-03-18 01:02:00,18,11,insufficient_fund,747.0,0,,34,degraded,False,low,False,4.4.0,build_D9,light
evt_SYN000101,sub_SYN00062,2026-04-16 17:49:00,16,12,insufficient_fund,747.0,1,0.0,63,poor,False,low,False,4.4.0,build_A1,system
evt_SYN000102,sub_SYN00063,2026-05-25 16:42:00,25,4,insufficient_fund,4698.0,0,,274,degraded,False,low,False,4.4.0,build_C3,light
evt_SYN000103,sub_SYN00063,2026-06-12 20:34:00,12,9,insufficient_fund,4698.0,1,0.0,292,degraded,False,low,True,4.4.0,build_D9,light
evt_SYN000104,sub_SYN00064,2025-12-19 14:20:00,19,10,insufficient_fund,940.0,0,,69,good,False,low,False,4.4.0,build_C3,system
evt_SYN000105,sub_SYN00064,2026-01-15 19:02:00,15,12,insufficient_fund,940.0,1,0.0,96,degraded,False,low,False,4.3.1,build_B7,light
evt_SYN000106,sub_SYN00065,2026-03-06 10:20:00,6,3,insufficient_fund,490.0,0,,523,good,False,medium,False,5.0.0,build_A1,light
evt_SYN000107,sub_SYN00065,2026-04-02 21:32:00,2,0,insufficient_fund,490.0,1,1.0,550,degraded,False,high,True,5.0.0,build_B7,light
evt_SYN000108,sub_SYN00066,2025-12-29 07:50:00,29,0,insufficient_fund,116.0,0,,187,good,False,medium,True,5.1.2,build_E2,light
evt_SYN000109,sub_SYN00066,2026-02-03 15:32:00,3,0,insufficient_fund,116.0,1,0.0,223,good,True,low,False,5.0.0,build_D9,system
evt_SYN000110,sub_SYN00066,2026-03-08 00:14:00,8,5,insufficient_fund,116.0,2,0.0,256,good,False,low,False,5.1.2,build_B7,system
evt_SYN000111,sub_SYN00067,2026-05-09 19:39:00,9,6,insufficient_fund,175.0,0,,136,good,False,low,False,4.3.1,build_B7,system
evt_SYN000112,sub_SYN00068,2025-12-31 17:12:00,31,0,insufficient_fund,303.0,0,,51,good,False,low,False,4.2.0,build_C3,light
evt_SYN000113,sub_SYN00069,2026-03-27 12:52:00,27,2,insufficient_fund,417.0,0,,30,good,False,low,False,5.0.0,build_E2,light
evt_SYN000114,sub_SYN00070,2025-04-26 23:22:00,26,2,insufficient_fund,366.0,0,,243,good,False,medium,False,4.4.0,build_D9,dark
evt_SYN000115,sub_SYN00071,2026-06-19 10:01:00,19,9,insufficient_fund,314.0,0,,54,good,False,low,False,4.3.1,build_B7,system
evt_SYN000116,sub_SYN00072,2026-06-07 04:32:00,7,4,insufficient_fund,384.0,0,,15,degraded,False,low,False,4.3.1,build_B7,system
evt_SYN000117,sub_SYN00072,2026-06-27 19:18:00,27,1,insufficient_fund,384.0,1,1.0,35,poor,False,low,False,4.2.0,build_A1,system
evt_SYN000118,sub_SYN00072,2026-08-11 21:32:00,11,8,insufficient_fund,384.0,2,1.0,80,degraded,False,low,False,5.1.2,build_E2,light
evt_SYN000119,sub_SYN00073,2026-03-19 10:57:00,19,10,insufficient_fund,658.0,0,,55,degraded,True,low,False,5.1.2,build_E2,dark
evt_SYN000120,sub_SYN00074,2026-02-23 21:05:00,23,3,insufficient_fund,91.0,0,,470,degraded,False,low,False,4.4.0,build_A1,dark
evt_SYN000121,sub_SYN00074,2026-08-14 12:10:00,14,11,insufficient_fund,91.0,1,0.0,642,degraded,False,low,False,5.0.0,build_D9,dark
evt_SYN000122,sub_SYN00075,2025-12-20 21:49:00,20,9,insufficient_fund,93.0,0,,204,good,False,medium,False,4.2.0,build_A1,dark
evt_SYN000123,sub_SYN00076,2026-01-07 10:58:00,7,4,insufficient_fund,896.0,0,,294,degraded,False,medium,False,4.2.0,build_B7,system
evt_SYN000124,sub_SYN00077,2025-12-27 10:51:00,27,2,insufficient_fund,878.0,0,,95,good,False,high,False,4.3.1,build_C3,dark
evt_SYN000125,sub_SYN00077,2026-01-23 07:17:00,23,6,insufficient_fund,878.0,1,0.0,122,poor,False,low,False,4.2.0,build_D9,light
evt_SYN000126,sub_SYN00078,2026-05-08 05:18:00,8,5,insufficient_fund,4556.0,0,,25,good,False,low,True,5.0.0,build_B7,system
evt_SYN000127,sub_SYN00078,2026-06-09 09:25:00,9,6,insufficient_fund,4556.0,1,1.0,57,good,False,medium,True,4.2.0,build_B7,dark
evt_SYN000128,sub_SYN00079,2025-05-21 00:33:00,21,8,insufficient_fund,686.0,0,,224,good,False,low,False,5.1.2,build_E2,dark
evt_SYN000129,sub_SYN00079,2025-06-06 19:14:00,6,3,insufficient_fund,686.0,1,0.0,240,good,False,medium,False,4.3.1,build_C3,dark
evt_SYN000130,sub_SYN00080,2026-03-08 01:22:00,8,5,insufficient_fund,672.0,0,,50,good,False,low,False,4.2.0,build_C3,light
evt_SYN000131,sub_SYN00081,2026-05-31 02:25:00,31,0,insufficient_fund,99.0,0,,23,good,False,medium,False,5.0.0,build_B7,dark
evt_SYN000132,sub_SYN00082,2025-11-24 10:51:00,24,4,insufficient_fund,322.0,0,,212,good,False,low,False,4.2.0,build_C3,light
evt_SYN000133,sub_SYN00082,2025-12-29 17:44:00,29,0,insufficient_fund,322.0,1,1.0,247,degraded,False,low,True,4.2.0,build_B7,dark
evt_SYN000134,sub_SYN00083,2026-05-19 01:10:00,19,10,insufficient_fund,159.0,0,,46,good,False,low,True,4.3.1,build_B7,system
evt_SYN000135,sub_SYN00084,2026-04-30 20:23:00,30,0,insufficient_fund,488.0,0,,36,good,False,medium,False,5.0.0,build_E2,system
evt_SYN000136,sub_SYN00085,2025-05-26 13:50:00,26,3,insufficient_fund,3748.0,0,,190,poor,False,low,False,5.0.0,build_C3,light
evt_SYN000137,sub_SYN00085,2025-10-18 11:17:00,18,11,insufficient_fund,3748.0,1,0.0,335,good,False,medium,False,4.3.1,build_C3,light
evt_SYN000138,sub_SYN00086,2025-10-26 21:11:00,26,3,insufficient_fund,142.0,0,,127,good,False,low,False,5.1.2,build_C3,system
evt_SYN000139,sub_SYN00087,2026-05-28 23:48:00,28,1,insufficient_fund,320.0,0,,166,good,False,low,False,4.3.1,build_C3,dark
evt_SYN000140,sub_SYN00088,2026-03-17 13:32:00,17,12,insufficient_fund,181.0,0,,169,degraded,False,low,False,5.1.2,build_B7,system
evt_SYN000141,sub_SYN00089,2025-10-14 00:42:00,14,11,insufficient_fund,83.0,0,,281,good,False,medium,False,4.3.1,build_A1,system
evt_SYN000142,sub_SYN00090,2026-04-27 07:16:00,27,1,insufficient_fund,161.0,0,,12,degraded,False,low,False,5.0.0,build_A1,dark
evt_SYN000143,sub_SYN00090,2026-08-02 08:29:00,2,0,insufficient_fund,161.0,1,0.0,109,good,False,low,False,5.0.0,build_C3,light
evt_SYN000144,sub_SYN00091,2026-05-20 12:04:00,20,9,insufficient_fund,85.0,0,,70,good,False,low,False,4.2.0,build_E2,dark
evt_SYN000145,sub_SYN00091,2026-06-14 05:22:00,14,11,insufficient_fund,85.0,1,0.0,95,good,True,medium,False,4.3.1,build_E2,light
evt_SYN000146,sub_SYN00092,2025-05-22 15:51:00,22,7,insufficient_fund,1203.0,0,,57,good,False,medium,False,5.0.0,build_C3,dark
evt_SYN000147,sub_SYN00093,2026-02-11 19:34:00,11,8,insufficient_fund,325.0,0,,315,good,False,low,False,5.1.2,build_A1,light
evt_SYN000148,sub_SYN00093,2026-04-16 03:07:00,16,12,insufficient_fund,325.0,1,0.0,379,good,False,high,False,5.0.0,build_A1,system
evt_SYN000149,sub_SYN00094,2024-08-11 10:29:00,11,8,insufficient_fund,710.0,0,,22,good,False,low,False,4.3.1,build_A1,system
evt_SYN000150,sub_SYN00095,2026-03-11 12:55:00,11,8,insufficient_fund,444.0,0,,181,good,False,low,False,4.3.1,build_D9,system
evt_SYN000151,sub_SYN00095,2026-04-19 13:13:00,19,9,insufficient_fund,444.0,1,0.0,220,good,False,medium,False,4.2.0,build_B7,light
evt_SYN000152,sub_SYN00095,2026-05-21 09:10:00,21,8,insufficient_fund,444.0,2,0.0,252,good,False,high,False,4.2.0,build_A1,dark
evt_SYN000153,sub_SYN00096,2026-06-04 22:11:00,4,1,insufficient_fund,130.0,0,,49,good,False,low,False,4.2.0,build_D9,system
evt_SYN000154,sub_SYN00097,2026-04-18 04:58:00,18,10,insufficient_fund,85.0,0,,333,good,False,medium,False,5.1.2,build_D9,light
evt_SYN000155,sub_SYN00098,2025-05-18 23:15:00,18,11,insufficient_fund,656.0,0,,68,good,False,low,False,5.0.0,build_E2,light
evt_SYN000156,sub_SYN00099,2026-04-11 21:10:00,11,8,insufficient_fund,125.0,0,,47,good,False,medium,False,5.1.2,build_A1,dark
evt_SYN000157,sub_SYN00100,2025-05-25 09:46:00,25,4,insufficient_fund,3143.0,0,,16,good,False,high,False,5.0.0,build_A1,dark
evt_SYN000158,sub_SYN00101,2026-04-30 15:44:00,30,0,insufficient_fund,169.0,0,,107,good,False,medium,False,5.0.0,build_E2,system
evt_SYN000159,sub_SYN00101,2026-05-28 15:14:00,28,1,insufficient_fund,169.0,1,0.0,135,good,False,medium,False,4.2.0,build_C3,system
evt_SYN000160,sub_SYN00101,2026-07-03 07:35:00,3,0,insufficient_fund,169.0,2,0.0,171,good,False,low,False,4.2.0,build_B7,light
evt_SYN000161,sub_SYN00102,2026-05-08 03:50:00,8,5,insufficient_fund,409.0,0,,568,good,False,medium,False,5.0.0,build_D9,light
evt_SYN000162,sub_SYN00103,2025-07-17 12:30:00,17,12,insufficient_fund,743.0,0,,266,good,False,medium,False,4.4.0,build_D9,dark
evt_SYN000163,sub_SYN00104,2025-12-22 04:25:00,22,7,insufficient_fund,166.0,0,,140,good,False,high,False,5.1.2,build_C3,dark
evt_SYN000164,sub_SYN00104,2026-01-16 01:22:00,16,13,insufficient_fund,166.0,1,0.0,165,good,False,low,False,5.1.2,build_B7,system
evt_SYN000165,sub_SYN00104,2026-02-25 08:47:00,25,1,insufficient_fund,166.0,2,0.0,205,good,False,low,False,5.0.0,build_E2,system
evt_SYN000166,sub_SYN00105,2026-01-12 05:18:00,12,9,insufficient_fund,185.0,0,,537,good,False,medium,False,5.0.0,build_C3,dark
evt_SYN000167,sub_SYN00105,2026-02-20 21:37:00,20,6,insufficient_fund,185.0,1,0.0,576,good,False,high,False,5.0.0,build_A1,dark
evt_SYN000168,sub_SYN00106,2026-03-04 13:54:00,4,1,insufficient_fund,1947.0,0,,597,good,False,medium,False,4.3.1,build_C3,dark
evt_SYN000169,sub_SYN00107,2026-04-14 10:13:00,14,11,insufficient_fund,79.0,0,,43,good,False,low,False,5.1.2,build_A1,system
evt_SYN000170,sub_SYN00108,2026-06-07 14:32:00,7,4,insufficient_fund,307.0,0,,264,good,False,low,False,4.3.1,build_D9,system
evt_SYN000171,sub_SYN00109,2025-04-16 18:36:00,16,12,insufficient_fund,487.0,0,,10,good,False,medium,False,4.2.0,build_E2,system
evt_SYN000172,sub_SYN00110,2026-05-30 20:42:00,30,0,insufficient_fund,153.0,0,,58,poor,False,low,True,4.4.0,build_D9,light
evt_SYN000173,sub_SYN00111,2025-09-17 18:46:00,17,11,insufficient_fund,830.0,0,,11,good,False,low,False,4.4.0,build_C3,system
evt_SYN000174,sub_SYN00112,2026-05-16 04:20:00,16,13,insufficient_fund,817.0,0,,167,good,False,medium,True,5.0.0,build_B7,dark
evt_SYN000175,sub_SYN00113,2024-10-03 14:19:00,3,0,insufficient_fund,339.0,0,,61,degraded,False,low,False,5.0.0,build_E2,system
evt_SYN000176,sub_SYN00113,2024-11-02 15:56:00,2,0,insufficient_fund,339.0,1,0.0,91,degraded,True,medium,False,5.1.2,build_C3,light
evt_SYN000177,sub_SYN00114,2026-01-21 01:18:00,21,8,insufficient_fund,845.0,0,,158,good,False,low,False,4.4.0,build_C3,dark
evt_SYN000178,sub_SYN00115,2026-03-25 21:49:00,25,4,insufficient_fund,87.0,0,,466,good,False,low,False,4.4.0,build_E2,light
evt_SYN000179,sub_SYN00115,2026-04-16 19:46:00,16,12,insufficient_fund,87.0,1,1.0,488,good,False,low,False,5.1.2,build_D9,dark
evt_SYN000180,sub_SYN00116,2025-10-02 00:50:00,2,0,insufficient_fund,136.0,0,,29,poor,False,low,False,4.2.0,build_A1,light
evt_SYN000181,sub_SYN00116,2025-10-15 19:14:00,15,12,insufficient_fund,136.0,1,1.0,42,good,False,low,False,4.2.0,build_B7,dark
