event_id,subscription_id,failure_timestamp,day_of_month,days_to_nearest_payday_window,error_reason,amount,prior_if_failure_count,prior_if_self_resolved_rate,tenure_days,plan_tier,monthly_amount,primary_instrument,city_tier,signup_date,bank_network_conditions,issuing_bank_downtime_flag,network_latency_bucket,is_month_end_settlement_rush,app_version,device_build,ui_theme,recovered_within_14d,recovered_at,recovered_via,final_amount_recovered
evt_SYN000037,sub_SYN00020,2026-05-27 18:33:00,27,2,insufficient_fund,166.0,0,,31,mobile,166,upi_autopay,tier_2,2026-04-26,degraded,False,low,False,4.2.0,build_E2,system,False,,none,0.0
evt_SYN000038,sub_SYN00020,2026-06-17 23:07:00,17,11,insufficient_fund,166.0,1,0.0,52,mobile,166,upi_autopay,tier_2,2026-04-26,good,False,high,False,4.4.0,build_E2,dark,True,2026-06-19 01:12:00,auto_retry,150.46
evt_SYN000039,sub_SYN00020,2026-07-27 00:40:00,27,2,insufficient_fund,166.0,2,0.0,92,mobile,166,upi_autopay,tier_2,2026-04-26,good,False,medium,False,5.1.2,build_E2,system,False,,none,0.0
evt_SYN000040,sub_SYN00021,2025-06-18 23:16:00,18,10,insufficient_fund,388.0,0,,69,mid,388,debit_card,tier_1,2025-04-10,poor,False,low,False,5.0.0,build_B7,system,True,2025-06-20 22:53:00,auto_retry,388.0
evt_SYN000042,sub_SYN00023,2025-04-14 05:11:00,14,11,insufficient_fund,2374.0,0,,52,saas,2374,debit_card,tier_1,2025-02-21,good,False,low,False,4.4.0,build_D9,system,False,,none,0.0
evt_SYN000043,sub_SYN00023,2025-05-08 16:14:00,8,5,insufficient_fund,2374.0,1,0.0,76,saas,2374,debit_card,tier_1,2025-02-21,good,False,medium,False,5.1.2,build_C3,dark,False,,none,0.0
evt_SYN000044,sub_SYN00023,2025-06-03 05:17:00,3,0,insufficient_fund,2374.0,2,0.0,102,saas,2374,debit_card,tier_1,2025-02-21,degraded,False,medium,False,5.0.0,build_B7,light,False,,none,0.0
evt_SYN000045,sub_SYN00024,2025-04-02 22:13:00,2,0,insufficient_fund,197.0,0,,161,mobile,197,netbanking,tier_2,2024-10-23,degraded,False,low,True,5.0.0,build_D9,dark,False,,none,0.0
evt_SYN000046,sub_SYN00024,2025-05-12 18:14:00,12,9,insufficient_fund,197.0,1,0.0,201,mobile,197,netbanking,tier_2,2024-10-23,good,False,medium,False,5.1.2,build_A1,dark,True,2025-05-17 14:39:00,customer_self_serve,197.0
evt_SYN000047,sub_SYN00024,2025-06-07 01:52:00,7,4,insufficient_fund,197.0,2,0.5,227,mobile,197,netbanking,tier_2,2024-10-23,good,False,medium,False,5.0.0,build_B7,dark,False,,none,0.0
evt_SYN000048,sub_SYN00025,2026-05-31 12:34:00,31,0,insufficient_fund,1759.0,0,,12,saas,1759,debit_card,tier_3,2026-05-19,good,False,high,True,5.0.0,build_D9,light,True,2026-06-01 17:54:00,customer_self_serve,1759.0
evt_SYN000049,sub_SYN00026,2026-02-03 03:59:00,3,0,insufficient_fund,85.0,0,,299,mobile,85,upi_autopay,tier_1,2025-04-10,good,False,low,False,4.3.1,build_A1,dark,True,2026-02-10 02:48:00,auto_retry,82.76
evt_SYN000050,sub_SYN00026,2026-05-16 09:14:00,16,13,insufficient_fund,85.0,1,0.0,401,mobile,85,upi_autopay,tier_1,2025-04-10,good,False,medium,False,5.0.0,build_E2,light,True,2026-05-16 22:57:00,auto_retry,85.0
evt_SYN000052,sub_SYN00028,2026-02-16 05:47:00,16,10,insufficient_fund,469.0,0,,507,mid,469,debit_card,tier_1,2024-09-27,good,False,medium,False,4.3.1,build_B7,system,True,2026-02-18 18:13:00,auto_retry,469.0
evt_SYN000053,sub_SYN00029,2026-05-21 19:03:00,21,8,insufficient_fund,180.0,0,,167,mobile,180,upi_autopay,tier_3,2025-12-05,good,False,high,False,4.3.1,build_D9,system,True,2026-05-23 21:36:00,auto_retry,180.0
evt_SYN000054,sub_SYN00029,2026-06-17 01:59:00,17,11,insufficient_fund,180.0,1,0.0,194,mobile,180,upi_autopay,tier_3,2025-12-05,good,False,medium,False,4.2.0,build_D9,light,True,2026-06-20 00:33:00,auto_retry,180.0
evt_SYN000055,sub_SYN00029,2026-07-21 15:10:00,21,8,insufficient_fund,180.0,2,0.0,228,mobile,180,upi_autopay,tier_3,2025-12-05,good,False,low,False,4.4.0,build_D9,light,True,2026-07-24 14:52:00,customer_self_serve,180.0
evt_SYN000059,sub_SYN00031,2025-12-09 22:20:00,9,6,insufficient_fund,336.0,0,,214,mid,336,upi_autopay,tier_2,2025-05-09,good,False,low,False,4.4.0,build_C3,light,True,2025-12-16 11:20:00,customer_self_serve,336.0
evt_SYN000060,sub_SYN00032,2025-11-07 13:58:00,7,4,insufficient_fund,3101.0,0,,72,saas,3101,credit_card,tier_2,2025-08-27,poor,False,medium,False,4.2.0,build_B7,dark,False,,none,0.0
evt_SYN000061,sub_SYN00033,2025-06-22 21:56:00,22,6,insufficient_fund,450.0,0,,131,mid,450,debit_card,tier_3,2025-02-11,degraded,False,high,False,4.4.0,build_D9,light,True,2025-06-26 03:19:00,customer_self_serve,415.69
evt_SYN000062,sub_SYN00034,2026-01-27 20:24:00,27,2,insufficient_fund,3131.0,0,,384,saas,3131,credit_card,tier_1,2025-01-08,good,False,medium,False,5.1.2,build_E2,dark,False,,none,0.0
evt_SYN000066,sub_SYN00037,2024-09-10 21:12:00,10,7,insufficient_fund,900.0,0,,60,premium,900,upi_autopay,tier_2,2024-07-12,good,False,low,False,5.1.2,build_C3,dark,True,2024-09-12 16:12:00,auto_retry,900.0
evt_SYN000067,sub_SYN00038,2025-11-20 08:01:00,20,8,insufficient_fund,97.0,0,,101,mobile,97,upi_autopay,tier_2,2025-08-11,good,False,medium,False,4.4.0,build_E2,light,True,2025-11-24 04:42:00,auto_retry,97.0
evt_SYN000068,sub_SYN00039,2026-03-06 13:27:00,6,3,insufficient_fund,190.0,0,,274,mobile,190,upi_autopay,tier_2,2025-06-05,good,False,medium,False,4.4.0,build_B7,dark,False,,none,0.0
evt_SYN000069,sub_SYN00040,2026-06-19 12:00:00,19,9,insufficient_fund,979.0,0,,27,premium,979,upi_autopay,tier_3,2026-05-23,degraded,False,high,False,4.2.0,build_C3,system,False,,none,0.0
evt_SYN000073,sub_SYN00042,2026-06-16 18:45:00,16,12,insufficient_fund,122.0,0,,380,mobile,122,credit_card,tier_2,2025-06-01,good,False,medium,False,4.3.1,build_E2,light,False,,none,0.0
evt_SYN000074,sub_SYN00042,2026-07-13 10:21:00,13,10,insufficient_fund,122.0,1,0.0,407,mobile,122,credit_card,tier_2,2025-06-01,good,False,low,False,5.1.2,build_A1,light,True,2026-07-15 18:37:00,auto_retry,122.0
evt_SYN000075,sub_SYN00043,2026-01-02 00:41:00,2,0,insufficient_fund,385.0,0,,136,mid,385,credit_card,tier_1,2025-08-19,good,False,low,True,5.0.0,build_C3,light,True,2026-01-03 17:25:00,auto_retry,385.0
evt_SYN000076,sub_SYN00044,2026-04-17 00:37:00,17,11,insufficient_fund,487.0,0,,21,mid,487,debit_card,tier_1,2026-03-27,good,False,low,False,4.4.0,build_E2,system,False,,none,0.0
evt_SYN000077,sub_SYN00044,2026-05-23 21:17:00,23,6,insufficient_fund,487.0,1,0.0,57,mid,487,debit_card,tier_1,2026-03-27,degraded,False,high,False,5.0.0,build_A1,dark,True,2026-05-27 01:24:00,customer_self_serve,487.0
evt_SYN000078,sub_SYN00044,2026-06-18 10:06:00,18,10,insufficient_fund,487.0,2,0.5,83,mid,487,debit_card,tier_1,2026-03-27,good,False,high,False,5.1.2,build_A1,light,False,,none,0.0
evt_SYN000079,sub_SYN00045,2025-09-07 10:00:00,7,4,insufficient_fund,920.0,0,,356,premium,920,upi_autopay,tier_2,2024-09-16,good,False,low,False,5.1.2,build_D9,system,False,,none,0.0
evt_SYN000080,sub_SYN00045,2025-10-17 20:23:00,17,12,insufficient_fund,920.0,1,0.0,396,premium,920,upi_autopay,tier_2,2024-09-16,good,False,low,False,4.2.0,build_A1,dark,False,,none,0.0
evt_SYN000082,sub_SYN00047,2025-08-13 13:29:00,13,10,insufficient_fund,331.0,0,,186,mid,331,debit_card,tier_2,2025-02-08,good,False,medium,False,4.3.1,build_E2,system,False,,none,0.0
evt_SYN000083,sub_SYN00048,2026-06-13 16:59:00,13,10,insufficient_fund,393.0,0,,117,mid,393,upi_autopay,tier_1,2026-02-16,good,False,low,False,5.0.0,build_A1,dark,False,,none,0.0
evt_SYN000084,sub_SYN00048,2026-07-12 14:15:00,12,9,insufficient_fund,393.0,1,0.0,146,mid,393,upi_autopay,tier_1,2026-02-16,good,False,low,True,4.2.0,build_B7,light,True,2026-07-15 04:56:00,auto_retry,393.0
evt_SYN000088,sub_SYN00052,2026-01-23 07:44:00,23,6,insufficient_fund,483.0,0,,473,mid,483,upi_autopay,tier_2,2024-10-07,good,False,low,False,4.4.0,build_D9,dark,False,,none,0.0
evt_SYN000089,sub_SYN00052,2026-03-03 23:15:00,3,0,insufficient_fund,483.0,1,0.0,512,mid,483,upi_autopay,tier_2,2024-10-07,poor,False,high,False,4.2.0,build_A1,system,False,,none,0.0
evt_SYN000090,sub_SYN00052,2026-04-03 12:18:00,3,0,insufficient_fund,483.0,2,0.0,543,mid,483,upi_autopay,tier_2,2024-10-07,poor,False,low,False,4.3.1,build_B7,light,False,,none,0.0
evt_SYN000092,sub_SYN00054,2026-05-07 23:45:00,7,4,insufficient_fund,108.0,0,,124,mobile,108,upi_autopay,tier_1,2026-01-03,degraded,False,high,False,4.4.0,build_E2,light,False,,none,0.0
evt_SYN000093,sub_SYN00055,2025-11-04 08:40:00,4,1,insufficient_fund,769.0,0,,120,premium,769,credit_card,tier_1,2025-07-07,good,False,medium,False,4.4.0,build_C3,system,True,2025-11-07 10:51:00,auto_retry,769.0
evt_SYN000094,sub_SYN00055,2025-11-17 19:56:00,17,11,insufficient_fund,769.0,1,0.0,133,premium,769,credit_card,tier_1,2025-07-07,degraded,False,low,False,5.1.2,build_B7,system,True,2025-11-19 07:52:00,auto_retry,769.0
evt_SYN000095,sub_SYN00055,2025-12-04 12:41:00,4,1,insufficient_fund,769.0,2,0.0,150,premium,769,credit_card,tier_1,2025-07-07,good,False,low,False,4.3.1,build_E2,system,False,,none,0.0
evt_SYN000096,sub_SYN00056,2025-06-18 12:07:00,18,10,insufficient_fund,957.0,0,,166,premium,957,upi_autopay,tier_3,2025-01-03,degraded,False,low,False,5.1.2,build_C3,system,True,2025-06-19 18:43:00,auto_retry,957.0
evt_SYN000097,sub_SYN00056,2025-10-27 01:43:00,27,2,insufficient_fund,957.0,1,0.0,297,premium,957,upi_autopay,tier_3,2025-01-03,degraded,False,medium,False,4.4.0,build_E2,dark,True,2025-10-27 09:21:00,customer_self_serve,957.0
evt_SYN000098,sub_SYN00057,2026-03-31 00:11:00,31,0,insufficient_fund,156.0,0,,553,mobile,156,credit_card,tier_2,2024-09-24,good,False,low,True,4.4.0,build_E2,system,True,2026-04-04 08:48:00,auto_retry,156.0
evt_SYN000099,sub_SYN00057,2026-05-04 18:36:00,4,1,insufficient_fund,156.0,1,0.0,587,mobile,156,credit_card,tier_2,2024-09-24,good,False,low,True,4.3.1,build_E2,system,False,,none,0.0
evt_SYN000100,sub_SYN00058,2025-11-23 11:52:00,23,5,insufficient_fund,157.0,0,,76,mobile,157,debit_card,tier_2,2025-09-08,good,False,low,False,4.4.0,build_D9,system,True,2025-11-25 08:05:00,auto_retry,157.0
evt_SYN000101,sub_SYN00059,2025-09-24 04:06:00,24,4,insufficient_fund,382.0,0,,112,mid,382,debit_card,tier_2,2025-06-04,good,False,low,False,5.0.0,build_A1,dark,True,2025-09-24 13:15:00,auto_retry,382.0
evt_SYN000107,sub_SYN00063,2025-07-27 23:58:00,27,2,insufficient_fund,193.0,0,,90,mobile,193,credit_card,tier_1,2025-04-28,good,False,low,False,4.3.1,build_B7,system,False,,none,0.0
evt_SYN000108,sub_SYN00063,2025-09-04 04:14:00,4,1,insufficient_fund,193.0,1,0.0,129,mobile,193,credit_card,tier_1,2025-04-28,good,False,low,False,4.4.0,build_D9,system,False,,none,0.0
evt_SYN000109,sub_SYN00063,2025-10-01 23:20:00,1,0,insufficient_fund,193.0,2,0.0,156,mobile,193,credit_card,tier_1,2025-04-28,good,False,low,False,4.2.0,build_D9,light,False,,none,0.0
evt_SYN000110,sub_SYN00064,2026-04-10 21:55:00,10,7,insufficient_fund,2777.0,0,,22,saas,2777,credit_card,tier_2,2026-03-19,good,False,medium,False,5.0.0,build_A1,system,True,2026-04-13 17:13:00,auto_retry,2588.87
evt_SYN000113,sub_SYN00066,2024-12-14 04:13:00,14,11,insufficient_fund,163.0,0,,72,mobile,163,upi_autopay,tier_2,2024-10-03,degraded,False,low,False,4.3.1,build_B7,system,False,,none,0.0
evt_SYN000114,sub_SYN00066,2025-01-11 10:15:00,11,8,insufficient_fund,163.0,1,0.0,100,mobile,163,upi_autopay,tier_2,2024-10-03,good,False,low,False,4.3.1,build_E2,system,True,2025-01-11 18:34:00,auto_retry,163.0
evt_SYN000116,sub_SYN00068,2026-05-26 11:11:00,26,3,insufficient_fund,139.0,0,,64,mobile,139,credit_card,tier_1,2026-03-23,good,False,medium,False,4.2.0,build_E2,light,True,2026-05-28 08:43:00,auto_retry,139.0
evt_SYN000117,sub_SYN00069,2026-06-01 02:15:00,1,0,insufficient_fund,79.0,0,,144,mobile,79,debit_card,tier_2,2026-01-08,good,False,low,True,4.2.0,build_E2,dark,True,2026-06-02 03:51:00,auto_retry,79.0
evt_SYN000118,sub_SYN00070,2025-08-24 03:57:00,24,5,insufficient_fund,131.0,0,,240,mobile,131,credit_card,tier_1,2024-12-27,poor,False,medium,False,5.1.2,build_D9,dark,True,2025-08-27 03:44:00,auto_retry,131.0
evt_SYN000119,sub_SYN00070,2025-12-14 07:00:00,14,11,insufficient_fund,131.0,1,0.0,352,mobile,131,credit_card,tier_1,2024-12-27,good,False,low,False,5.1.2,build_B7,light,False,,none,0.0
evt_SYN000120,sub_SYN00071,2026-06-08 14:19:00,8,5,insufficient_fund,134.0,0,,24,mobile,134,debit_card,tier_2,2026-05-15,good,False,low,False,5.0.0,build_E2,light,True,2026-06-09 09:41:00,auto_retry,134.0
evt_SYN000126,sub_SYN00075,2025-08-04 21:54:00,4,1,insufficient_fund,486.0,0,,321,mid,486,debit_card,tier_1,2024-09-17,degraded,False,low,False,5.1.2,build_C3,light,True,2025-08-05 17:17:00,auto_retry,486.0
evt_SYN000129,sub_SYN00078,2025-10-10 12:06:00,10,7,insufficient_fund,771.0,0,,193,premium,771,credit_card,tier_2,2025-03-31,good,False,low,False,4.4.0,build_B7,light,False,,none,0.0
evt_SYN000130,sub_SYN00078,2025-11-13 11:44:00,13,10,insufficient_fund,771.0,1,0.0,227,premium,771,credit_card,tier_2,2025-03-31,good,False,low,False,4.4.0,build_C3,dark,True,2025-11-18 22:59:00,customer_self_serve,771.0
evt_SYN000134,sub_SYN00080,2025-11-25 05:49:00,25,3,insufficient_fund,125.0,0,,99,mobile,125,credit_card,tier_1,2025-08-18,degraded,False,low,False,4.2.0,build_C3,light,True,2025-11-28 12:25:00,auto_retry,125.0
evt_SYN000136,sub_SYN00082,2025-02-11 16:05:00,11,8,insufficient_fund,148.0,0,,180,mobile,148,credit_card,tier_2,2024-08-15,good,False,low,False,4.4.0,build_E2,dark,True,2025-02-13 12:58:00,auto_retry,148.0
evt_SYN000137,sub_SYN00082,2025-03-01 00:43:00,1,0,insufficient_fund,148.0,1,0.0,198,mobile,148,credit_card,tier_2,2024-08-15,degraded,False,medium,False,5.1.2,build_E2,dark,True,2025-03-05 14:09:00,customer_self_serve,148.0
evt_SYN000138,sub_SYN00082,2025-03-22 16:01:00,22,7,insufficient_fund,148.0,2,0.5,219,mobile,148,credit_card,tier_2,2024-08-15,poor,False,medium,False,4.2.0,build_E2,system,False,,none,0.0
evt_SYN000140,sub_SYN00084,2026-02-28 16:42:00,28,0,insufficient_fund,312.0,0,,45,mid,312,debit_card,tier_1,2026-01-14,poor,False,medium,False,4.4.0,build_C3,system,False,,none,0.0
evt_SYN000141,sub_SYN00085,2026-02-11 15:51:00,11,8,insufficient_fund,366.0,0,,155,mid,366,credit_card,tier_1,2025-09-09,good,False,high,False,4.3.1,build_D9,light,True,2026-02-12 13:35:00,auto_retry,366.0
evt_SYN000142,sub_SYN00086,2026-05-24 03:01:00,24,5,insufficient_fund,122.0,0,,268,mobile,122,debit_card,tier_2,2025-08-29,degraded,False,low,True,4.2.0,build_C3,dark,True,2026-06-03 19:21:00,customer_self_serve,122.0
evt_SYN000143,sub_SYN00087,2026-05-12 01:52:00,12,9,insufficient_fund,453.0,0,,72,mid,453,netbanking,tier_1,2026-03-01,poor,False,low,False,5.1.2,build_E2,system,True,2026-05-13 07:31:00,auto_retry,453.0
evt_SYN000144,sub_SYN00088,2026-04-01 15:57:00,1,0,insufficient_fund,365.0,0,,54,mid,365,upi_autopay,tier_2,2026-02-06,good,False,low,False,5.0.0,build_B7,dark,True,2026-04-01 20:57:00,auto_retry,365.0
evt_SYN000145,sub_SYN00089,2025-03-24 18:43:00,24,5,insufficient_fund,116.0,0,,46,mobile,116,debit_card,tier_2,2025-02-06,good,False,medium,False,4.3.1,build_C3,system,True,2025-03-28 07:43:00,auto_retry,116.0
evt_SYN000149,sub_SYN00093,2026-05-06 22:18:00,6,3,insufficient_fund,102.0,0,,44,mobile,102,credit_card,tier_1,2026-03-23,poor,False,medium,False,4.2.0,build_C3,light,True,2026-05-11 20:04:00,auto_retry,102.0
evt_SYN000150,sub_SYN00094,2025-03-03 10:19:00,3,0,insufficient_fund,814.0,0,,73,premium,814,netbanking,tier_2,2024-12-20,good,False,low,False,4.2.0,build_D9,system,True,2025-03-05 15:05:00,auto_retry,814.0
evt_SYN000151,sub_SYN00095,2025-06-17 14:28:00,17,11,insufficient_fund,3337.0,0,,268,saas,3337,debit_card,tier_2,2024-09-22,good,False,low,False,4.3.1,build_D9,system,True,2025-06-19 09:34:00,auto_retry,3337.0
evt_SYN000152,sub_SYN00095,2025-07-18 03:59:00,18,11,insufficient_fund,3337.0,1,0.0,299,saas,3337,debit_card,tier_2,2024-09-22,good,False,low,False,5.0.0,build_C3,light,False,,none,0.0
evt_SYN000153,sub_SYN00096,2026-02-02 22:09:00,2,0,insufficient_fund,2375.0,0,,76,saas,2375,upi_autopay,tier_1,2025-11-18,degraded,False,high,False,4.2.0,build_B7,system,True,2026-02-04 02:34:00,customer_self_serve,2052.25
evt_SYN000154,sub_SYN00097,2026-02-12 02:15:00,12,9,insufficient_fund,816.0,0,,33,premium,816,debit_card,tier_2,2026-01-10,good,False,low,False,5.1.2,build_A1,light,True,2026-02-14 23:28:00,auto_retry,816.0
evt_SYN000155,sub_SYN00098,2026-04-07 16:42:00,7,4,insufficient_fund,991.0,0,,76,premium,991,upi_autopay,tier_1,2026-01-21,degraded,False,medium,False,5.0.0,build_A1,system,True,2026-04-07 20:57:00,auto_retry,991.0
evt_SYN000156,sub_SYN00099,2026-01-23 04:36:00,23,6,insufficient_fund,395.0,0,,237,mid,395,credit_card,tier_2,2025-05-31,degraded,False,low,False,5.1.2,build_C3,light,False,,none,0.0
evt_SYN000157,sub_SYN00100,2025-12-24 20:58:00,24,5,insufficient_fund,669.0,0,,169,premium,669,credit_card,tier_2,2025-07-08,good,False,low,False,4.3.1,build_D9,light,False,,none,0.0
evt_SYN000158,sub_SYN00101,2025-12-27 07:04:00,27,2,insufficient_fund,134.0,0,,26,mobile,134,credit_card,tier_3,2025-12-01,degraded,False,medium,False,4.4.0,build_D9,dark,False,,none,0.0
evt_SYN000160,sub_SYN00103,2025-10-25 11:47:00,25,4,insufficient_fund,300.0,0,,119,mid,300,upi_autopay,tier_2,2025-06-28,good,False,low,False,4.2.0,build_D9,system,False,,none,0.0
evt_SYN000161,sub_SYN00104,2025-10-03 21:22:00,3,0,insufficient_fund,680.0,0,,431,premium,680,credit_card,tier_2,2024-07-29,poor,False,low,False,4.3.1,build_E2,light,False,,none,0.0
evt_SYN000162,sub_SYN00104,2025-10-22 11:12:00,22,7,insufficient_fund,680.0,1,0.0,450,premium,680,credit_card,tier_2,2024-07-29,good,False,medium,False,5.1.2,build_E2,dark,True,2025-10-26 20:18:00,auto_retry,680.0
evt_SYN000163,sub_SYN00104,2025-11-16 03:14:00,16,12,insufficient_fund,680.0,2,0.0,475,premium,680,credit_card,tier_2,2024-07-29,degraded,False,low,False,5.0.0,build_A1,light,True,2025-11-22 19:21:00,customer_self_serve,680.0
evt_SYN000164,sub_SYN00105,2026-02-15 00:54:00,15,11,insufficient_fund,348.0,0,,351,mid,348,debit_card,tier_2,2025-03-01,good,False,medium,False,4.3.1,build_B7,light,False,,none,0.0
evt_SYN000165,sub_SYN00105,2026-03-17 02:32:00,17,12,insufficient_fund,348.0,1,0.0,381,mid,348,debit_card,tier_2,2025-03-01,good,False,low,False,4.3.1,build_B7,system,False,,none,0.0
evt_SYN000166,sub_SYN00105,2026-04-09 03:27:00,9,6,insufficient_fund,348.0,2,0.0,404,mid,348,debit_card,tier_2,2025-03-01,good,False,low,False,4.2.0,build_A1,system,False,,none,0.0
evt_SYN000168,sub_SYN00107,2026-04-20 18:40:00,20,8,insufficient_fund,476.0,0,,36,mid,476,upi_autopay,tier_3,2026-03-15,good,False,low,False,5.1.2,build_B7,system,True,2026-04-22 02:45:00,auto_retry,476.0
evt_SYN000170,sub_SYN00109,2025-11-29 06:49:00,29,0,insufficient_fund,95.0,0,,23,mobile,95,debit_card,tier_1,2025-11-06,good,False,medium,False,4.3.1,build_A1,dark,False,,none,0.0
evt_SYN000172,sub_SYN00111,2026-06-09 01:11:00,9,6,insufficient_fund,359.0,0,,622,mid,359,upi_autopay,tier_3,2024-09-25,good,False,high,False,4.2.0,build_D9,dark,True,2026-06-12 15:52:00,auto_retry,359.0
evt_SYN000173,sub_SYN00112,2026-06-11 14:56:00,11,8,insufficient_fund,172.0,0,,642,mobile,172,upi_autopay,tier_1,2024-09-07,good,False,low,False,5.1.2,build_A1,system,True,2026-06-13 02:48:00,auto_retry,172.0
evt_SYN000174,sub_SYN00113,2025-12-11 11:41:00,11,8,insufficient_fund,320.0,0,,518,mid,320,netbanking,tier_1,2024-07-11,good,False,low,False,4.4.0,build_A1,dark,False,,none,0.0
evt_SYN000175,sub_SYN00113,2026-01-06 22:44:00,6,3,insufficient_fund,320.0,1,0.0,544,mid,320,netbanking,tier_1,2024-07-11,poor,False,low,False,5.0.0,build_B7,light,True,2026-01-10 04:23:00,auto_retry,320.0
